"X1","FEC_ID","STATE","STATE_ABBREVIATION","GENERAL_ELECTION_DATE","FIRST_NAME","LAST_NAME","LAST_NAME_FIRST","TOTAL_VOTES","PARTY","GENERAL_RESULTS","TOTAL_VOTES_","GENERAL_","X","X_1","X_2","X_3"
"2","P80002801","Alabama","AL","11/4/2008","John","McCain","McCain, John","","R","1266546","","60.32%","",,,
"3","P80003338","Alabama","AL","11/4/2008","Barack","Obama","Obama, Barack","","D","813479","","38.74%","",,,
"4","P20000527","Alabama","AL","11/4/2008","Ralph","Nader","Nader, Ralph","","I","6788","","0.32%","",,,
"5","P80005580","Alabama","AL","11/4/2008","Bob","Barr","Barr, Bob","","I","4991","","0.24%","",,,
"6","P80005499","Alabama","AL","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","I","4310","","0.21%","",,,
"7","n/a","Alabama","AL","11/4/2008","","Scattered","Scattered ","","W","3705","","0.18%","",,,
"8","n/a","Alabama","AL","11/4/2008","","","","Total State Votes; ","","2099819","2,099,819","","",,,
"9","P80002801","Alaska","AK","11/4/2008","John","McCain","McCain, John","","R","193841","","59.42%","",,,
"10","P80003338","Alaska","AK","11/4/2008","Barack","Obama","Obama, Barack","","D","123594","","37.89%","",,,
"11","P20000527","Alaska","AK","11/4/2008","Ralph","Nader","Nader, Ralph","","I","3783","","1.16%","",,,
"12","n/a","Alaska","AK","11/4/2008","","Scattered","Scattered ","","W","1730","","0.53%","",,,
"13","P80005499","Alaska","AK","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","AKI","1660","","0.51%","",,,
"14","P80005580","Alaska","AK","11/4/2008","Bob","Barr","Barr, Bob","","LBT","1589","","0.49%","",,,
"15","n/a","Alaska","AK","11/4/2008","","","","Total State Votes; ","","326197","326,197","","",,,
"16","P80002801","Arizona","AZ","11/4/2008","John","McCain","McCain, John","","R","1230111","","53.64%","",,,
"17","P80003338","Arizona","AZ","11/4/2008","Barack","Obama","Obama, Barack","","D","1034707","","45.12%","",,,
"18","P80005580","Arizona","AZ","11/4/2008","Bob","Barr","Barr, Bob","","LBT","12555","","0.55%","",,,
"19","P20000527","Arizona","AZ","11/4/2008","Ralph","Nader","Nader, Ralph","","I","11301","","0.49%","",,,
"20","P80004930","Arizona","AZ","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","3406","","0.15%","",,,
"21","P80005499","Arizona","AZ","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","W","1371","","0.06%","",,,
"22","n/a","Arizona","AZ","11/4/2008","Charles","Jay","Jay, Charles","","W","16","","0.00%","",,,
"23","P80005119","Arizona","AZ","11/4/2008","Jonathan","Allen","Allen, Jonathan","","W","8","","0.00%","",,,
"24","n/a","Arizona","AZ","11/4/2008","","","","Total State Votes; ","","2293475","2,293,475","","",,,
"25","P80002801","Arkansas","AR","11/4/2008","John","McCain","McCain, John","","R","638017","","58.72%","",,,
"26","P80003338","Arkansas","AR","11/4/2008","Barack","Obama","Obama, Barack","","D","422310","","38.86%","",,,
"27","P20000527","Arkansas","AR","11/4/2008","Ralph","Nader","Nader, Ralph","","I","12882","","1.19%","",,,
"28","P80005580","Arkansas","AR","11/4/2008","Bob","Barr","Barr, Bob","","LBT","4776","","0.44%","",,,
"29","P80005499","Arkansas","AR","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","4023","","0.37%","",,,
"30","P80004930","Arkansas","AR","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","3470","","0.32%","",,,
"31","P80005572","Arkansas","AR","11/4/2008","Gloria","La Riva","La Riva, Gloria","","SLP","1139","","0.10%","",,,
"32","n/a","Arkansas","AR","11/4/2008","","","","Total State Votes; ","","1086617","1,086,617","","",,,
"33","P80003338","California","CA","11/4/2008","Barack","Obama","Obama, Barack","","D","8274473","","61.01%","",,,
"34","P80002801","California","CA","11/4/2008","John","McCain","McCain, John","","R","5011781","","36.95%","",,,
"35","P20000527","California","CA","11/4/2008","Ralph","Nader","Nader, Ralph","","PAF","108381","","0.80%","",,,
"36","P80005580","California","CA","11/4/2008","Bob","Barr","Barr, Bob","","LBT","67582","","0.50%","",,,
"37","P60003076","California","CA","11/4/2008","Alan","Keyes","Keyes, Alan","","AIP","40673","","0.30%","",,,
"38","P80004930","California","CA","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRE","38774","","0.29%","",,,
"39","P80000748","California","CA","11/4/2008","Ron","Paul","Paul, Ron","","W","17006","","0.13%","",,,
"40","P80005499","California","CA","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","W","3145","","0.02%","",,,
"41","P60004454","California","CA","11/4/2008","James","Harris","Harris, James","","W","49","","0.00%","",,,
"42","n/a","California","CA","11/4/2008","Frank","Moore","Moore, Frank","","W","36","","0.00%","",,,
"43","n/a","California","CA","11/4/2008","","","","Total State Votes; ","","13561900","13,561,900","","",,,
"44","P80003338","Colorado","CO","11/5/2008","Barack","Obama","Obama, Barack","","D","1288633","","53.66%","",,,
"45","P80002801","Colorado","CO","11/4/2008","John","McCain","McCain, John","","R","1073629","","44.71%","",,,
"46","P20000527","Colorado","CO","11/4/2008","Ralph","Nader","Nader, Ralph","","UN","13352","","0.56%","",,,
"47","P80005580","Colorado","CO","11/4/2008","Bob","Barr","Barr, Bob","","LBC","10898","","0.45%","",,,
"48","P80005499","Colorado","CO","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","6233","","0.26%","",,,
"49","P60003076","Colorado","CO","11/4/2008","Alan","Keyes","Keyes, Alan","","AMI","3051","","0.13%","",,,
"50","P80004930","Colorado","CO","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","GRC","2822","","0.12%","",,,
"51","P80003460","Colorado","CO","11/4/2008","Frank Edward","McEnulty","McEnulty, Frank Edward","","UN","829","","0.03%","",,,
"52","n/a","Colorado","CO","11/4/2008","Charles","Jay","Jay, Charles","","BTP","598","","0.02%","",,,
"53","P80005119","Colorado","CO","11/4/2008","Jonathan E.","Allen","Allen, Jonathan E.","","HQK","348","","0.01%","",,,
"54","P80005655","Colorado","CO","11/6/2008","Thomas Robert","Stevens","Stevens, Thomas Robert","","OBJ","336","","0.01%","",,,
"55","P80005275","Colorado","CO","11/4/2008","Brian","Moore","Moore, Brian","","SOC","226","","0.01%","",,,
"56","P80005572","Colorado","CO","11/4/2008","Gloria","La Riva","La Riva, Gloria","","SLP","158","","0.01%","",,,
"57","P60004454","Colorado","CO","11/4/2008","James","Harris","Harris, James","","SWP","154","","0.01%","",,,
"58","n/a","Colorado","CO","11/4/2008","Bradford","Lyttle","Lyttle, Bradford","","USP","110","","0.00%","",,,
"59","n/a","Colorado","CO","11/4/2008","Gene C.","Amondson","Amondson, Gene C.","","P","85","","0.00%","",,,
"60","n/a","Colorado","CO","11/8/2008","","","","Total State Votes; ","","2401462","2,401,462","","",,,
"61","P80003338","Connecticut","CT","11/4/2008","Barack","Obama","Obama, Barack","","D","997772","","60.59%","",,,
"62","P80002801","Connecticut","CT","11/4/2008","John","McCain","McCain, John","","R","629428","","38.22%","",,,
"63","P20000527","Connecticut","CT","11/4/2008","Ralph","Nader","Nader, Ralph","","I","19162","","1.16%","",,,
"64","P80005499","Connecticut","CT","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","W","311","","0.02%","",,,
"65","P80004930","Connecticut","CT","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","W","90","","0.01%","",,,
"66","P80005275","Connecticut","CT","11/4/2008","Brian","Moore","Moore, Brian","","W","19","","0.00%","",,,
"67","P80005481","Connecticut","CT","11/4/2008","Roger","Calero","Calero, Roger","","W","15","","0.00%","",,,
"68","n/a","Connecticut","CT","11/4/2008","","","","Total State Votes; ","","1646797","1,646,797","","",,,
"69","P80003338","Delaware","DE","11/4/2008","Barack","Obama","Obama, Barack","","D","255459","","61.94%","",,,
"70","P80002801","Delaware","DE","11/4/2008","John","McCain","McCain, John","","R","152374","","36.95%","",,,
"71","P20000527","Delaware","DE","11/4/2008","Ralph","Nader","Nader, Ralph","","IDE","2401","","0.58%","",,,
"72","P80005580","Delaware","DE","11/4/2008","Bob","Barr","Barr, Bob","","LBT","1109","","0.27%","",,,
"73","P80005499","Delaware","DE","11/4/2008","Chuck","Baldwin","Baldwin, Chuck","","CON","626","","0.15%","",,,
"74","P80004930","Delaware","DE","11/4/2008","Cynthia A.","McKinney","McKinney, Cynthia A.","","GRE","385","","0.09%","",,,
"75","P80005481","Delaware","DE","11/4/2008","Roger","Calero","Calero, Roger","","SWP","58","","0.01%","",,,
"76","n/a","Delaware","DE","11/5/2008","","","","Total State Votes; ","","412412","412,412","","",,,
"77","P80003338","District of Columbia","DC","11/4/2008","Barack","Obama","Obama, Barack","","D","245800","","92.46%","",,,
"78","P80002801","District of Columbia","DC","11/4/2008","John","McCain","McCain, John","","R","17367","","6.53%","",,,
"79","n/a","District of Columbia","DC","11/4/2008","","Scattered","Scattered ","","W","1138","","0.43%","",,,
"80","P20000527","District of Columbia","DC","11/4/2008","Ralph","Nader","Nader, Ralph","","I","958","","0.36%","",,,
"81","P80004930","District of Columbia","DC","11/4/2008","Cynthia","McKinney","McKinney, Cynthia","","DCG","590","","0.22%","",,,
"82","n/a","District of Columbia","DC","11/4/2008","","","","Total State Votes; ","","265853","265,853","","",,,
"83","P80003338","Florida","FL","11/4/2008","Barack","Obama","Obama, Barack","","D","4282074","","51.03%","",,,
"84","P80002801","Florida","FL","11/4/2008","John","McCain","McCain, John","","R","4045624","","48.22%","",,,
